,cpi_us,d4l_cpi_us,y_us,d4l_y_us,l_y_us_gap,l_y_us_tnd,i_fed_us,i_3lib_us,i_6lib_us,r_us,r_fed_us_tnd,cpi_ez,y_ez,d4l_y_ez,l_y_ez_gap,l_y_ez_tnd,usd_eur,oil,l_qoil_tnd,l_qoil_gap,food,l_qfood_tnd,l_qfood_gap,diam,l_qdiam_tnd,l_qdiam_gap,coblt,l_qcoblt_tnd,l_qcoblt_gap,copp,l_qcopp_tnd,l_qcopp_gap,gold,l_qgold_tnd,l_qgold_gap,coal,l_qcoal_tnd,l_qcoal_gap
Comments,"US Consumer Price Index (index, 2005=100, USD)","US Headline CPI Inflation (percent, YoY, log approx.)","US Real GDP (Mil. USD, 2005 prices)","US Real GDP Growth (percent, YoY, log approx.)",US Real GDP Gap (percent),US Real GDP Trend (100*log),US Fed Funds Interest Rate (percent p.a.),3M USD LIBOR Interest Rate (percent p.a.),6M USD LIBOR Interest Rate (percent p.a.),US Real Interest Rate (percent p.a.),US Equilibrium Real Interest Rate (percent p.a.),"EZ Consumer Price Index (index, 2005=100, EUR)","EZ Real GDP (Mil. EUR, 2000 prices)","EZ Real GDP Growth (percent, YoY, log approx.)",EZ Real GDP Gap (percent),EZ Real GDP Trend (100*log),Nominal USD per EUR Exchange Rate (USD per 1 EUR),Price of Brent Crude Oil (USD),"Real Price of Oil Trend (100*log, deflated by US CPI)","Real Price of Oil Gap (percent, deflated by US CPI)","Food Price Index (2002-2004=100, FAO (UN), USD)","Real Price of Food Trend (100*log, deflated by US CPI)","Real Price of Food Gap (percent, deflated by US CPI)",Industrial Diamonds Price Index (USD),"Real Price of Industrial Diamonds Trend (100*log, deflated by US CPI)","Real Price of Industrial Diamonds Gap (percent, deflated by US CPI)",Shanghai Cobalt Spot Price (USD),"Real Price of Shanghai Cobalt Trend (100*log, deflated by US CPI)","Real Price of Shanghai Cobalt Gap (percent, deflated by US CPI)",LME Copper Spot Price (USD),"Real Price of LME Copper Trend (100*log, deflated by US CPI)","Real Price of LME Copper Gap (percent, deflated by US CPI)",Gold Spot Price (USD),"Real Price of Gold Trend (100*log, deflated by US CPI)","Real Price of Gold Gap (percent, deflated by US CPI)",Price of CSX Coal Future (USD),"Real Price of CSX Coal Futures Trend (100*log, deflated by US CPI)","Real Price of CSX Coal Futures Gap (percent, deflated by US CPI)"
2004Q4,87.72736,3.2927,14609.9,3.22958,-0.29959,959.24506,1.92825,2.26996,2.44888,-1.13178,0.485,98.67991,2263142,1.7754,-0.54442,1463.77088,1.29691,44.1569,-71.16852,2.52006,113.29499,28.90321,-3.3271,2176.12,259.55266,61.55383,47098.3989,616.66458,11.91146,3093.16652,360.35821,-4.08653,434.5033,163.56722,-3.57025,60.27261,-64.54855,27.01294
2005Q1,88.29731,3.07568,14771.6,3.79796,-0.07381,960.11998,2.44319,2.7971,3.02687,-0.66212,0.52907,99.04924,2266942.6,1.37113,-0.83887,1464.23313,1.31069,47.6424,-66.86069,5.16203,114.73719,30.27193,-4.07847,2002.00333,259.63285,52.48655,46878.12922,617.85124,9.60845,3264.70159,364.53563,-3.51423,427.45399,166.63157,-8.91787,58.86681,-62.86875,22.32553
2005Q2,88.87487,2.85653,14839.8,3.49924,-0.44129,960.9481,2.89864,3.23172,3.43455,-0.03153,0.59632,99.58251,2282422.2,1.52329,-0.62521,1464.69999,1.25938,51.61041,-62.62617,8.27556,116.20326,31.71708,-4.90594,1754.54333,259.43392,38.83952,45290.43923,618.97497,4.3872,3387.1456,368.72948,-4.67814,427.78141,169.83018,-12.69189,57.0715,-61.44469,17.15223
2005Q3,90.01391,3.69411,14972.1,3.44565,-0.34821,961.74258,3.39957,3.70317,3.89048,0.27652,0.58789,100.36751,2299158.9,1.96105,-0.36274,1465.16813,1.21937,61.55105,-58.50927,20.49953,118.8497,33.23574,-5.44619,1963.26,258.97169,49.26805,40162.38929,620.04388,-9.97168,3750.34812,372.91498,0.049,439.81541,173.17152,-14.53243,56.18556,-60.24119,13.11074
2005Q4,91.03888,3.70529,15066.6,3.0781,-0.39718,962.42074,3.89613,4.24547,4.42533,0.84535,0.63216,100.97287,2313261.4,2.19043,-0.21647,1465.63337,1.18891,56.9356,-54.60266,7.66606,122.05127,34.82341,-5.50796,2043.41,258.23537,52.87349,35772.75242,621.08526,-23.71975,4303.78359,377.05223,8.54408,485.77033,176.65365,-9.20873,57.61,-59.22358,13.46453
2006Q1,91.58821,3.65929,15267,3.29872,0.41308,962.93181,4.36468,4.65054,4.7863,1.26823,0.6573,101.39272,2333973.5,2.91401,0.2171,1466.09117,1.20289,61.91755,-50.85177,11.70187,123.48775,36.47316,-6.58923,2331.02667,257.22351,66.45264,35589.52771,622.12308,-25.87266,4947.50202,381.09181,17.84174,554.70039,180.24251,-0.12996,55.23579,-58.38072,7.81157
2006Q2,92.40011,3.88987,15302.7,3.07165,0.16456,963.41389,4.78343,5.08245,5.1923,1.61955,0.73845,102.01503,2358937.8,3.29742,0.83814,1466.53406,1.257,69.82954,-47.29445,19.28735,124.66286,38.18069,-8.2322,2140.47,255.9253,58.33996,40954.45347,623.153,-13.74423,7228.80255,384.98299,50.98706,627.06964,183.88707,7.60587,51.27662,-57.65711,-1.23222
2006Q3,92.95525,3.2154,15326.4,2.33884,-0.14016,963.87337,5.11638,5.29077,5.34481,2.44261,0.77062,102.52086,2374143.6,3.20934,1.0614,1466.95334,1.27425,70.09438,-43.98511,15.75755,127.4047,39.94235,-8.41731,1942.59333,254.3577,49.60839,44230.78261,624.13637,-7.63057,7679.87698,388.6199,52.80416,620.96896,187.54226,2.37403,46.48808,-56.97239,-12.31984
2006Q4,92.83963,1.95868,15456.9,2.55751,0.2672,964.31388,5.11256,5.22932,5.23268,3.28564,0.69382,102.7588,2400717.1,3.71091,1.7838,1467.34401,1.29027,59.72723,-40.9098,-3.19875,133.05821,41.74779,-5.75647,1995.31,252.54089,54.22722,49801.65764,625.04414,3.44886,7069.22608,391.97896,41.28431,614.56957,191.21779,-2.21294,41.90536,-56.23402,-23.31196
2007Q1,93.85752,2.44753,15493.3,1.4714,0.09191,964.72439,5.12833,5.21704,5.22437,3.08815,0.65901,103.33272,2418681.7,3.56505,2.17628,1467.69704,1.31093,58.06738,-37.96361,-10.05378,137.15182,43.57496,-5.64391,2051.01,250.48182,57.94915,56533.16786,625.83476,14.24572,5957.59545,395.07589,19.98854,650.32964,194.92181,-1.35167,40.45937,-55.35615,-28.7918
2007Q2,94.82509,2.59059,15582.1,1.80935,0.27679,965.11102,5.11578,5.21929,5.23292,2.89622,0.63116,103.91306,2434517.1,3.1537,2.51769,1468.00821,1.34825,68.73087,-35.11218,2.92862,149.73506,45.40918,0.27417,2152.06333,248.19089,64.02394,67101.61044,626.46658,29.72635,7648.51086,397.95513,41.0681,667.58213,198.64014,-3.47731,44.24327,-54.29976,-21.93332
